Method,Test Size,MAE
U-Net,0.1,62.441808102899316
Transformer,0.1,1.7574879555475145
IDW,0.2,0.9957881629242545
Kriging,0.2,3.6939499966751947
Ensemble,0.2,1.3774203309611683
U-Net,0.2,65.02164507085403
Transformer,0.2,1.5646890355913683
IDW,0.3,1.3069045973248294
Kriging,0.3,4.055493246018195
Ensemble,0.3,1.5181552179370914
U-Net,0.3,64.85762000789822
Transformer,0.3,1.7918380941924463
IDW,0.4,1.4233474057503877
Kriging,0.4,3.5016258510799547
Ensemble,0.4,1.5661379021973687
U-Net,0.4,63.49672889884719
Transformer,0.4,2.0223299946103777
IDW,0.5,1.4817328051165637
Kriging,0.5,3.558995550634413
Ensemble,0.5,1.7829111223946634
U-Net,0.5,63.90708785620975
Transformer,0.5,1.635676570616203
IDW,0.1,0.591187290546391
Kriging,0.1,2.8230859738788263
Ensemble,0.1,1.0194699794208395
U-Net,0.1,64.77083763464104
Transformer,0.1,1.7797350997016543
IDW,0.2,0.8785048383426681
Kriging,0.2,3.496287514480071
Ensemble,0.2,1.528741393173208
U-Net,0.2,62.85319993225514
Transformer,0.2,1.6837596925259435
IDW,0.3,0.9322638200944039
Kriging,0.3,2.511153452719575
Ensemble,0.3,1.214536983379525
U-Net,0.3,64.31942186422755
Transformer,0.3,1.2682118178327422
IDW,0.4,1.205173762656856
Kriging,0.4,3.145537708395877
Ensemble,0.4,1.4059802787811284
U-Net,0.4,64.26828404905673
Transformer,0.4,1.7544198036193848
IDW,0.5,1.3780125493117703
Kriging,0.5,2.31229796257382
Ensemble,0.5,1.7298154771087568
U-Net,0.5,64.24604254982016
Transformer,0.5,1.6614720239715985
IDW,0.1,0.4771794439533479
Kriging,0.1,3.20329413233874
Ensemble,0.1,0.9846059916782419
U-Net,0.1,64.1678998388508
Transformer,0.1,1.7806038970039004
IDW,0.2,0.8917520356418034
Kriging,0.2,3.4399478387606233
Ensemble,0.2,1.3045228897458472
U-Net,0.2,66.9944913689949
Transformer,0.2,1.8616965340210165
IDW,0.3,0.8130344473666277
Kriging,0.3,3.403749158687074
Ensemble,0.3,1.2769490971000104
U-Net,0.3,68.28997830906738
Transformer,0.3,1.8160575632848046
IDW,0.4,1.2335337537879842
Kriging,0.4,3.897556901821914
Ensemble,0.4,1.6237288668579999
U-Net,0.4,65.0845752539729
Transformer,0.4,1.607712251799447
IDW,0.5,1.5856591245319311
Kriging,0.5,3.02945147478931
Ensemble,0.5,1.6427406054310632
U-Net,0.5,63.62779503960462
Transformer,0.5,1.6549939521196382
IDW,0.1,0.43168817693271044
Kriging,0.1,2.0499378380948885
Ensemble,0.1,1.0303786895019516
U-Net,0.1,61.73637731759894
Transformer,0.1,1.5263173239571708
IDW,0.2,0.764789316519782
Kriging,0.2,3.1681917182901205
Ensemble,0.2,1.3473998267403267
U-Net,0.2,64.13689119907026
Transformer,0.2,1.638236539447727
IDW,0.3,1.2540770634978429
Kriging,0.3,3.5230486453075556
Ensemble,0.3,1.5465893884916295
U-Net,0.3,64.04966504944687
Transformer,0.3,1.4912618585930018
IDW,0.4,1.118495813449593
Kriging,0.4,3.9570410199828765
Ensemble,0.4,1.5814014423028975
U-Net,0.4,65.96038976118537
Transformer,0.4,2.022214787346976
IDW,0.5,1.7147410233945546
Kriging,0.5,4.276964585645118
Ensemble,0.5,1.9244153134128814
U-Net,0.5,63.619463559733404
Transformer,0.5,1.0713295207905706
IDW,0.1,1.290169073698779
Kriging,0.1,3.3013482552765194
Ensemble,0.1,1.6409571945609234
U-Net,0.1,63.277193666491534
Transformer,0.1,1.7575087660834903
IDW,0.2,0.9526252232614648
Kriging,0.2,3.7886484232643216
Ensemble,0.2,1.2686035767714663
U-Net,0.2,63.690708482300025
Transformer,0.2,1.466187341329041
IDW,0.3,0.9322638200944039
Kriging,0.3,2.511153452719575
Ensemble,0.3,1.214536983379525
U-Net,0.3,64.74534163166943
Transformer,0.3,1.854836986439438
IDW,0.4,1.1992949779544693
Kriging,0.4,3.985430246896524
Ensemble,0.4,1.6036831267162541
U-Net,0.4,66.77593286435844
Transformer,0.4,1.5499651432037354
IDW,0.5,1.3908462500662344
Kriging,0.5,3.914553460165496
Ensemble,0.5,1.6065728812934004
U-Net,0.5,63.901145971050745
Transformer,0.5,1.5879187494436473
IDW,0.1,0.9016809886616596
Kriging,0.1,2.6567597033475043
Ensemble,0.1,1.3731203596595492
U-Net,0.1,65.17667642725183
Transformer,0.1,1.5576741241273426
IDW,0.2,0.7683517759236821
Kriging,0.2,3.283679237316724
Ensemble,0.2,1.3262184177513312
U-Net,0.2,63.43201652358704
Transformer,0.2,2.121260574315261
IDW,0.3,1.038253236810452
Kriging,0.3,3.2008130080888764
Ensemble,0.3,1.4315073216939895
U-Net,0.3,62.415149560691574
Transformer,0.3,1.598356195793298
IDW,0.4,1.124797199535665
Kriging,0.4,2.729204705942946
Ensemble,0.4,1.516155869600882
U-Net,0.4,63.975298215314204
Transformer,0.4,2.1548011302948
IDW,0.5,1.5856591245319311
Kriging,0.5,3.02945147478931
Ensemble,0.5,1.6427406054310632
U-Net,0.5,63.95557458079327
Transformer,0.5,1.9337529650322554
IDW,0.1,1.0150328408917688
Kriging,0.1,3.8898950270208865
Ensemble,0.1,1.3648871293375127
U-Net,0.1,60.845906012268685
Transformer,0.1,1.785049938020252
IDW,0.2,0.8445299358584807
Kriging,0.2,3.3885446245609128
Ensemble,0.2,1.266396003898438
U-Net,0.2,64.82875523127012
Transformer,0.2,1.5688989789442003
IDW,0.3,0.8176716515391697
Kriging,0.3,3.529702602185334
Ensemble,0.3,1.303400109637308
U-Net,0.3,65.58288555594241
Transformer,0.3,2.051967167762961
IDW,0.4,0.901024317077301
Kriging,0.4,2.113592383538052
Ensemble,0.4,1.5565131072654492
U-Net,0.4,64.88158171795455
Transformer,0.4,1.7392106907708305
IDW,0.5,1.4762723423261839
Kriging,0.5,3.847818333313669
Ensemble,0.5,1.8336457128009551
U-Net,0.5,65.52553406397281
Transformer,0.5,1.5375264349316144
IDW,0.1,0.6382565894477132
Kriging,0.1,2.6192062182340936
Ensemble,0.1,0.9606149614792812
U-Net,0.1,63.15569583297866
Transformer,0.1,1.8590220496768044
IDW,0.2,0.6753614016496101
Kriging,0.2,2.771483682277308
Ensemble,0.2,1.4290899035078588
U-Net,0.2,62.3254411349737
Transformer,0.2,2.250497111922732
IDW,0.3,0.925253503174972
Kriging,0.3,3.5049589813727486
Ensemble,0.3,1.3396126334702103
U-Net,0.3,65.4580611768775
Transformer,0.3,1.6066976963788613
IDW,0.4,1.2882498171682093
Kriging,0.4,3.2593411299819204
Ensemble,0.4,1.586318983789365
U-Net,0.4,63.99507187881306
Transformer,0.4,1.6470502614974976
IDW,0.5,1.3198783367793572
Kriging,0.5,4.0657249454090465
Ensemble,0.5,1.7625604030955477
U-Net,0.5,64.6730657033616
Transformer,0.5,1.6082869010700298
IDW,0.1,0.45737274437111275
Kriging,0.1,2.736372607669961
Ensemble,0.1,1.1572427026144945
U-Net,0.1,62.042837678789056
Transformer,0.1,1.9167082877386183
IDW,0.2,1.0834580688486721
Kriging,0.2,3.7502142280691313
Ensemble,0.2,1.551143128151441
U-Net,0.2,63.65095706808128
Transformer,0.2,1.7680573327657165
IDW,0.3,1.2328279141084815
Kriging,0.3,3.826394210420373
Ensemble,0.3,1.3786183739066786
U-Net,0.3,63.862530902040504
Transformer,0.3,1.5881989285406939
IDW,0.4,1.124797199535665
Kriging,0.4,2.729204705942946
Ensemble,0.4,1.516155869600882
U-Net,0.4,70.06938077974033
Transformer,0.4,1.74239410672869
IDW,0.5,1.2540801230562255
Kriging,0.5,3.7617634499158608
Ensemble,0.5,1.6484087678500716
U-Net,0.5,64.12038488178516
Transformer,0.5,1.5089509365705638
IDW,0.1,1.3375744552076991
Kriging,0.1,3.1705773867184326
