gps.lat,gps.lon,altitudeAMSL,localPosition.x,localPosition.y,localPosition.z,pressure,temperature,humidity,gas_resistance,distance_to_tower,azimuth,elevation_angle
52.607659,1.5417589,30300,-61.2,-67.4,-18.8,1014.589108,8.463398438,71.69903918,570155,0.092243985,50.98973539,-11.18225395
52.6076878,1.5417272,30300,-53.5,-72.4,-18.8,1014.586511,8.4690625,71.66570137,572067,0.091980301,53.38539742,-11.30752492
52.6077121,1.5417021,30300,-53.5,-72.4,-18.8,1014.575853,8.477070313,71.57810445,574474,0.091791399,55.37538087,-11.30752492
52.6077533,1.5416575,30200,-45.8,-77.4,-18.7,1014.564321,8.473164063,71.53662169,579841,0.09184324,58.80552036,-11.26532008
52.6077819,1.541626,30200,-45.8,-77.4,-18.7,1014.562918,8.4909375,71.49818362,577389,0.092104011,61.1901335,-11.26532008
52.6077819,1.541626,30200,-45.8,-77.4,-18.7,1014.557941,8.493085938,71.45756378,580334,0.092104011,61.1901335,-11.26532008
52.6078016,1.5416043,30200,-45.8,-77.4,-18.7,1014.552998,8.498359375,71.44466362,579349,0.092375844,62.82325182,-11.26532008
52.607818,1.5415871,30200,-39.6,-81.6,-18.7,1014.558939,8.496796875,71.4103521,581322,0.092606133,64.15895963,-11.18210582
52.6078248,1.5415815,30200,-39.6,-81.6,-18.7,1014.560737,8.495820313,71.28752646,584308,0.09262243,64.68334369,-11.18210582
52.6078202,1.5416139,30200,-38.2,-81.3,-18.7,1014.573425,8.498359375,71.28788144,585812,0.090866656,63.79944495,-11.2872658
52.6078094,1.5416653,30200,-38.2,-81.3,-18.7,1014.595204,8.505390625,71.37065045,583309,0.088309099,62.10132767,-11.2872658
52.607798,1.5417054,30300,-41.2,-73.8,-18.8,1014.577156,8.50890625,71.16673502,586315,0.086532439,60.51629378,-12.01689357
52.607798,1.5417054,30300,-41.2,-73.8,-18.8,1014.561648,8.521210938,70.89620851,583808,0.086532439,60.51629378,-12.01689357
52.6077824,1.5417567,30300,-41.2,-73.8,-18.8,1014.547291,8.521796875,71.12086766,590371,0.084419606,58.32825438,-12.01689357
52.6077689,1.5417977,30300,-45.5,-65.8,-18.8,1014.544821,8.529609375,71.169627,594484,0.082886626,56.43530736,-12.65002155
52.6077507,1.5418482,30300,-45.5,-65.8,-18.8,1014.542284,8.531171875,71.08132647,585812,0.08123041,53.90928348,-12.65002155
52.607725,1.5419187,30300,-45.5,-65.8,-18.8,1014.547784,8.558320313,71.064694,593451,0.079215375,50.19995061,-12.65002155
52.6077111,1.5419605,30300,-50.1,-58.1,-18.8,1014.558641,8.558710938,71.0375209,595002,0.078083902,47.99769531,-13.15159091
52.6076939,1.5420131,30300,-50.1,-58.1,-18.8,1014.553759,8.559882813,70.95602216,594484,0.076806303,45.15767165,-13.15159091
52.6076939,1.5420131,30300,-50.1,-58.1,-18.8,1014.567219,8.564960938,70.9159107,596562,0.076806303,45.15767165,-13.15159091
52.6076797,1.5420556,30300,-54.4,-50.1,-18.7,1014.568086,8.566523438,70.88891965,599707,0.075940547,42.78098745,-13.53628362
52.6076548,1.5421302,30300,-54.4,-50.1,-18.7,1014.585913,8.561835938,70.86786196,593451,0.074744111,38.49402358,-13.53628362
52.6076372,1.542182,30200,-58.9,-41.9,-18.7,1014.621951,8.55890625,70.62954833,597607,0.074193982,35.43293617,-13.82925631
52.6076235,1.5422223,30200,-58.9,-41.9,-18.7,1014.651468,8.553046875,70.48611875,598130,0.073915104,33.02533321,-13.82925631
52.6076067,1.5422722,30200,-58.9,-41.9,-18.7,1014.663644,8.55734375,70.43919784,597607,0.073736515,30.033583,-13.82925631
52.6075899,1.5423218,30200,-63.2,-34.1,-18.7,1014.667849,8.55265625,70.77818776,602352,0.073769335,27.05024445,-13.91951446
