,predicted_rsrp,predicted_rsrq,predicted_sinr,true_rsrp,true_rsrq,true_sinr,,,,,,,,,,,,distance_to_tower,azimuth,elevation_angle,,rsrp_mae,distX100
67,-97.89777,-12.271578,-4.440999,-95,-9,0,,,,,,,,,,,,0.09273857,48.46756784,-11.18225395,,-2.89777,9.273857
68,-94.30374,-10.71737,-0.8838471,-95,-9,0,,,,,,,,,,,,0.09273857,48.46756784,-11.18225395,,0.69626,9.273857
69,-93.26277,-9.275976,-3.657653,-95,-9,0,,,,,,,,,,,,0.092243985,50.98973539,-11.18225395,,1.73723,9.2243985
70,-95.83554,-11.005751,-2.869057,-95,-9,0,,,,,,,,,,,,0.091980301,53.38539742,-11.30752492,,-0.83554,9.1980301
71,-97.11245,-13.633793,-8.070847,-95,-9,0,,,,,,,,,,,,0.091791399,55.37538087,-11.30752492,,-2.11245,9.1791399
72,-94.54629,-10.437479,-3.883433,-95,-9,0,,,,,,,,,,,,0.09184324,58.80552036,-11.26532008,,0.45371,9.184324
73,-96.52751,-13.255125,-7.8024774,-94,-8,-1,,,,,,,,,,,,0.092104011,61.1901335,-11.26532008,,-2.52751,9.2104011
74,-96.48143,-11.847652,-3.2086391,-94,-8,-1,,,,,,,,,,,,0.092104011,61.1901335,-11.26532008,,-2.48143,9.2104011
75,-94.71891,-10.793427,-7.9984403,-94,-8,-1,,,,,,,,,,,,0.092375844,62.82325182,-11.26532008,,-0.71891,9.2375844
76,-94.78007,-12.363045,-6.041011,-94,-8,-1,,,,,,,,,,,,0.092606133,64.15895963,-11.18210582,,-0.78007,9.2606133
77,-100.398705,-14.096338,-7.1352243,-94,-8,-1,,,,,,,,,,,,0.09262243,64.68334369,-11.18210582,,-6.398705,9.262243
78,-96.01083,-11.284941,-5.3387327,-94,-8,-1,,,,,,,,,,,,0.090866656,63.79944495,-11.2872658,,-2.01083,9.0866656
79,-95.61493,-12.402865,-6.0045657,-94,-8,-1,,,,,,,,,,,,0.088309099,62.10132767,-11.2872658,,-1.61493,8.8309099
80,-96.82599,-12.938137,-6.4084044,-94,-8,-1,,,,,,,,,,,,0.086532439,60.51629378,-12.01689357,,-2.82599,8.6532439
81,-93.545616,-11.107296,-2.3950794,-94,-8,-1,,,,,,,,,,,,0.086532439,60.51629378,-12.01689357,,0.454384,8.6532439
82,-93.80467,-11.521259,-5.049502,-94,-8,-1,,,,,,,,,,,,0.084419606,58.32825438,-12.01689357,,0.19533,8.4419606
83,-96.74457,-12.333366,-4.029407,-94,-8,-1,,,,,,,,,,,,0.082886626,56.43530736,-12.65002155,,-2.74457,8.2886626
84,-92.041306,-10.174345,-1.242143,-94,-8,-1,,,,,,,,,,,,0.08123041,53.90928348,-12.65002155,,1.958694,8.123041
85,-91.34711,-9.848838,-0.57953715,-94,-8,-1,,,,,,,,,,,,0.079215375,50.19995061,-12.65002155,,2.65289,7.9215375
86,-93.929184,-12.605495,-6.310609,-92,-9,-4,,,,,,,,,,,,0.078083902,47.99769531,-13.15159091,,-1.929184,7.8083902
87,-94.223206,-11.915188,-4.8448095,-92,-9,-4,,,,,,,,,,,,0.076806303,45.15767165,-13.15159091,,-2.223206,7.6806303
88,-96.14879,-11.6856165,-3.890423,-92,-9,-4,,,,,,,,,,,,0.076806303,45.15767165,-13.15159091,,-4.14879,7.6806303
89,-94.50278,-11.043371,-6.0346375,-92,-9,-4,,,,,,,,,,,,0.075940547,42.78098745,-13.53628362,,-2.50278,7.5940547
90,-94.71627,-11.533919,-7.851301,-92,-9,-4,,,,,,,,,,,,0.074744111,38.49402358,-13.53628362,,-2.71627,7.4744111
91,-93.10495,-10.93597,-7.50892,-92,-9,-4,,,,,,,,,,,,0.074193982,35.43293617,-13.82925631,,-1.10495,7.4193982
92,-96.127625,-13.956516,-8.383441,-93,-19.5,-16,,,,,,,,,,,,0.073915104,33.02533321,-13.82925631,,-3.127625,7.3915104
93,-92.38968,-11.764778,-6.9510317,-89,-10,-3,,,,,,,,,,,,0.073736515,30.033583,-13.82925631,,-3.38968,7.3736515
94,-90.98759,-9.906863,-3.8809774,-89,-10,-3,,,,,,,,,,,,0.073769335,27.05024445,-13.91951446,,-1.98759,7.3769335
95,-92.06709,-11.305189,-4.616928,-89,-10,-3,,,,,,,,,,,,0.073769335,27.05024445,-13.91951446,,-3.06709,7.3769335
96,-89.19443,-10.538779,-3.6130645,-89,-10,-3,,,,,,,,,,,,0.073911231,24.61071255,-13.91951446,,-0.19443,7.3911231
97,-93.89248,-12.677593,-9.147851,-89,-10,-3,,,,,,,,,,,,0.074410297,20.26604466,-13.83036334,,-4.89248,7.4410297
98,-97.224686,-11.721695,-6.7023377,-89,-10,-3,,,,,,,,,,,,0.074823382,17.81607647,-13.83036334,,-8.224686,7.4823382
99,-96.46851,-13.455138,-7.077913,-89,-10,-3,,,,,,,,,,,,0.075512101,14.82116703,-13.65693685,,-7.46851,7.5512101
100,-97.04141,-11.524099,-7.085202,-89,-10,-3,,,,,,,,,,,,0.076410637,11.87204498,-13.65693685,,-8.04141,7.6410637
101,-91.91049,-9.862037,-1.4872969,-89,-10,-3,,,,,,,,,,,,0.076410637,11.87204498,-13.65693685,,-2.91049,7.6410637
102,-94.70245,-11.916595,-7.66042,-89,-10,-3,,,,,,,,,,,,0.077297874,9.627980916,-13.2533435,,-5.70245,7.7297874
103,-94.11659,-11.568032,-3.9031055,-89,-10,-3,,,,,,,,,,,,0.07869712,6.93945069,-13.2533435,,-5.11659,7.869712
104,-92.2351,-11.50919,-5.205007,-89,-10,-3,,,,,,,,,,,,0.080702595,3.711179778,-13.2533435,,-3.2351,8.0702595
105,-92.659225,-10.142176,-5.9138427,-89,-10,-3,,,,,,,,,,,,0.082506127,1.093473403,-12.73306752,,-3.659225,8.2506127
106,-92.34695,-10.930497,-4.6977444,-89,-10,-3,,,,,,,,,,,,0.08445045,358.6611475,-12.73306752,,-3.34695,8.445045
107,-92.41762,-10.60761,-4.3803406,-89,-10,-3,,,,,,,,,,,,0.086877711,355.990198,-12.10907056,,-3.41762,8.6877711
108,-93.68286,-10.845364,-5.3967905,-90,-10,-6,,,,,,,,,,,,0.086877711,355.990198,-12.10907056,,-3.68286,8.6877711
109,-93.71938,-10.866291,-3.8442852,-90,-10,-6,,,,,,,,,,,,0.089011164,353.8723619,-12.10907056,,-3.71938,8.9011164
110,-96.27573,-10.689858,-6.832863,-90,-10,-6,,,,,,,,,,,,0.09132615,351.8663445,-11.40961868,,-6.27573,9.132615
111,-94.24538,-11.951122,-5.0336576,-90,-10,-6,,,,,,,,,,,,0.093318442,350.3193319,-11.40961868,,-4.24538,9.3318442
112,-98.04912,-13.901995,-8.761785,-90,-10,-6,,,,,,,,,,,,0.095499489,348.7740146,-10.77092559,,-8.04912,9.5499489
113,-99.81587,-14.553612,-10.056387,-90,-10,-6,,,,,,,,,,,,0.096892523,347.843862,-10.77092559,,-9.81587,9.6892523
114,-93.574356,-12.117136,-6.859929,-90,-10,-6,,,,,,,,,,,,0.098846803,346.412478,-10.77092559,,-3.574356,9.8846803
115,-92.06993,-10.994118,-5.147879,-90,-10,-6,,,,,,,,,,,,0.098846803,346.412478,-10.77092559,,-2.06993,9.8846803
116,-95.70857,-13.200878,-8.291814,-90,-10,-6,,,,,,,,,,,,0.100833112,344.495628,-10.32097653,,-5.70857,10.0833112
117,-93.09738,-11.611922,-5.5132875,-90,-10,-6,,,,,,,,,,,,0.100944018,343.0421756,-10.32097653,,-3.09738,10.0944018
118,-99.30972,-14.541964,-10.428795,-90,-10,-6,,,,,,,,,,,,0.101220957,340.8597857,-10.23771132,,-9.30972,10.1220957
119,-95.62625,-12.791697,-10.311766,-89,-11,-10,,,,,,,,,,,,0.101641792,339.1125617,-10.23771132,,-6.62625,10.1641792
120,-95.736305,-12.689678,-4.4111013,-89,-11,-10,,,,,,,,,,,,0.102431792,336.9527349,-10.14058579,,-6.736305,10.2431792
121,-94.430725,-13.304137,-13.870179,-89,-11,-10,,,,,,,,,,,,0.102431792,336.9527349,-10.14058579,,-5.430725,10.2431792
122,-92.15079,-10.806182,-7.072618,-89,-11,-10,,,,,,,,,,,,0.103682397,334.2900641,-10.14058579,,-3.15079,10.3682397
123,-93.00737,-11.910191,-7.5091085,-89,-11,-10,,,,,,,,,,,,0.104166445,333.3612308,-10.14058579,,-4.00737,10.4166445
124,-92.183334,-13.567568,-13.300124,-89,-11,-10,,,,,,,,,,,,0.104350438,332.7994372,-10.0013335,,-3.183334,10.4350438
125,-99.982666,-13.821304,-7.575596,-89,-11,-10,,,,,,,,,,,,0.103772516,332.9628693,-10.0013335,,-10.982666,10.3772516
126,-92.27964,-11.404398,-10.518006,-89,-11,-10,,,,,,,,,,,,0.099179794,334.6975627,-10.3066499,,-3.27964,9.9179794
127,-94.615395,-14.118069,-11.839055,-89,-11,-10,,,,,,,,,,,,0.09635699,335.9001644,-10.3066499,,-5.615395,9.635699
128,-89.76796,-12.542282,-10.474967,-89,-11,-10,,,,,,,,,,,,0.09635699,335.9001644,-10.3066499,,-0.76796,9.635699
129,-98.88449,-15.114467,-12.315085,-90,-11,-20,,,,,,,,,,,,0.094083539,336.8162776,-11.06444363,,-8.88449,9.4083539
130,-96.255394,-15.294193,-14.335406,-90,-11,-20,,,,,,,,,,,,0.09107557,338.096529,-11.06444363,,-6.255394,9.107557
131,-94.51444,-13.087402,-9.234437,-90,-11,-20,,,,,,,,,,,,0.088680251,339.2311173,-11.85152296,,-4.51444,8.8680251
132,-96.59497,-13.807385,-8.544744,-91,-16,-10,,,,,,,,,,,,0.084687749,341.4689631,-11.85152296,,-5.59497,8.4687749
133,-91.02513,-14.605275,-10.973311,-91,-16,-10,,,,,,,,,,,,0.081982086,343.3519014,-11.85152296,,-0.02513,8.1982086
134,-97.651985,-12.824495,-6.1841235,-93,-14,2,,,,,,,,,,,,0.079912667,344.9558523,-12.73660735,,-4.651985,7.9912667
135,-91.01181,-10.131166,-0.95005214,-93,-14,2,,,,,,,,,,,,0.079912667,344.9558523,-12.73660735,,1.98819,7.9912667
136,-92.1013,-10.740789,-4.2081604,-93,-14,2,,,,,,,,,,,,0.0773756,347.0278495,-12.73660735,,0.8987,7.73756
137,-92.86447,-11.712719,-1.1901575,-93,-14,2,,,,,,,,,,,,0.075477244,348.7176702,-13.70473675,,0.13553,7.5477244
138,-97.081665,-11.754868,-4.531803,-93,-14,2,,,,,,,,,,,,0.072230513,351.8458439,-13.70473675,,-4.081665,7.2230513
139,-95.03588,-12.114458,-6.9653907,-93,-14,2,,,,,,,,,,,,0.070046737,354.3527387,-14.68272229,,-2.03588,7.0046737
140,-94.525986,-10.882798,-1.304473,-93,-14,2,,,,,,,,,,,,0.067925257,357.0631571,-14.68272229,,-1.525986,6.7925257
141,-94.97552,-13.2711525,-9.173852,-93,-14,2,,,,,,,,,,,,0.066484477,359.2021407,-14.68272229,,-1.97552,6.6484477
142,-92.816444,-11.05908,-3.400521,-93,-14,2,,,,,,,,,,,,0.066484477,359.2021407,-14.68272229,,0.183556,6.6484477
143,-97.94211,-14.1566515,-8.652895,-93,-14,2,,,,,,,,,,,,0.065598506,1.475728795,-14.84954002,,-4.94211,6.5598506
144,-93.58239,-11.129093,-0.636892,-93,-14,2,,,,,,,,,,,,0.065301923,2.651249589,-14.84954002,,-0.58239,6.5301923
145,-95.085556,-11.06856,-6.5022845,-90,-13,-9,,,,,,,,,,,,0.065151184,2.30642968,-14.74356218,,-5.085556,6.5151184
146,-94.29857,-12.031695,-8.963551,-91,-11,-19,,,,,,,,,,,,0.065172269,1.723111393,-14.74356218,,-3.29857,6.5172269
147,-97.05021,-15.08009,-13.986118,-91,-11,-19,,,,,,,,,,,,0.065494545,1.342062654,-15.31662438,,-6.05021,6.5494545
148,-97.38887,-13.850363,-9.045926,-94,-9,-7,,,,,,,,,,,,0.065494545,1.342062654,-15.31662438,,-3.38887,6.5494545
149,-100.20391,-16.102308,-10.607606,-94,-9,-7,,,,,,,,,,,,0.066502195,359.5633421,-15.31662438,,-6.20391,6.6502195
150,-94.32521,-12.793745,-7.8771152,-94,-9,-7,,,,,,,,,,,,0.069085617,354.9382098,-14.6962306,,-0.32521,6.9085617
151,-93.102684,-12.260473,-8.278136,-94,-9,-7,,,,,,,,,,,,0.070627728,352.5451233,-14.6962306,,0.897316,7.0627728
152,-95.55258,-12.918219,-7.2408085,-94,-9,-7,,,,,,,,,,,,0.072714171,350.2723969,-13.86971601,,-1.55258,7.2714171
153,-96.120445,-13.339552,-8.901859,-94,-9,-7,,,,,,,,,,,,0.074680519,348.7702058,-13.86971601,,-2.120445,7.4680519
154,-96.61017,-13.410025,-6.873213,-94,-9,-7,,,,,,,,,,,,0.077290012,346.8640412,-13.86971601,,-2.61017,7.7290012
155,-98.42769,-14.078724,-7.355423,-94,-9,-7,,,,,,,,,,,,0.077290012,346.8640412,-13.86971601,,-4.42769,7.7290012
156,-93.98729,-10.979673,-6.910082,-94,-9,-7,,,,,,,,,,,,0.080862013,344.1778565,-12.85499647,,0.01271,8.0862013
157,-94.22467,-12.668264,-8.825033,-94,-9,-7,,,,,,,,,,,,0.082907742,342.6787705,-12.85499647,,-0.22467,8.2907742
158,-100.16948,-14.375416,-7.442085,-94,-9,-7,,,,,,,,,,,,0.08506114,341.2168207,-12.06215134,,-6.16948,8.506114
159,-95.73925,-11.926712,-6.0576305,-94,-9,-7,,,,,,,,,,,,0.087985967,339.4833005,-12.06215134,,-1.73925,8.7985967
160,-94.90811,-11.899155,-8.7918825,-94,-9,-7,,,,,,,,,,,,0.091138138,337.8325102,-11.18350522,,-0.90811,9.1138138
161,-93.640305,-11.566569,-6.3145,-87,-11,-1,,,,,,,,,,,,0.095540522,335.7208369,-11.18350522,,-6.640305,9.5540522
162,-87.71091,-10.426429,-0.16425982,-87,-11,-1,,,,,,,,,,,,0.095540522,335.7208369,-11.18350522,,-0.71091,9.5540522
163,-92.796234,-11.4277115,-5.3315687,-87,-11,-1,,,,,,,,,,,,0.097623511,334.8407473,-11.18350522,,-5.796234,9.7623511
164,-94.34895,-11.63591,-4.1313133,-87,-11,-1,,,,,,,,,,,,0.099234257,334.2014617,-10.57673536,,-7.34895,9.9234257
165,-93.842545,-11.435564,-6.5235314,-87,-11,-1,,,,,,,,,,,,0.099661396,334.0912045,-10.57673536,,-6.842545,9.9661396
