,pred,real
110,-78.57522,-79
111,-78.283905,-77
112,-78.0072,-77
113,-77.72251,-77
114,-77.441696,-77
115,-77.26531,-77
116,-77.12644,-77
117,-76.90193,-77
118,-76.81041,-75
119,-76.65501,-75
120,-76.53924,-75
121,-76.40224,-75
122,-76.284645,-75
123,-76.202576,-75
124,-76.21614,-75
125,-77.13321,-75
126,-77.56379,-77
127,-77.65514,-77
128,-77.57148,-77
129,-77.568474,-77
130,-77.52156,-77
131,-77.49464,-77
132,-77.49712,-77
133,-77.52518,-77
134,-77.53935,-77
135,-77.57427,-77
136,-77.573,-77
137,-77.61042,-77
138,-80.172066,-77
139,-80.26676,-81
140,-80.39675,-81
141,-80.48057,-81
142,-80.48351,-77
143,-80.70485,-77
144,-80.89501,-83
145,-81.03977,-81
146,-81.22374,-81
147,-81.252,-81
148,-81.222664,-81
149,-81.23752,-81
150,-81.19164,-81
151,-81.22378,-81
152,-80.64776,-77
153,-79.89466,-79
154,-79.71436,-79
155,-79.71339,-79
156,-79.32795,-77
157,-79.11484,-77
158,-78.87153,-77
159,-78.81762,-77
160,-78.550934,-77
161,-78.42917,-77
162,-77.993996,-77
163,-78.27628,-77
164,-78.43627,-77
165,-78.334984,-77
166,-77.97534,-77
167,-77.383385,-77
168,-77.413246,-77
169,-78.105576,-75
170,-78.59147,-75
171,-78.34298,-75
172,-78.01978,-79
173,-77.23153,-81
174,-77.21421,-75
175,-76.735634,-75
176,-76.52587,-75
177,-76.31124,-75
178,-76.46652,-75
179,-76.27866,-75
180,-76.26981,-75
181,-76.28575,-75
182,-76.22146,-75
183,-76.173134,-75
184,-76.35047,-75
185,-76.44044,-75
186,-76.79964,-77
187,-76.76878,-77
188,-77.15725,-73
189,-77.37561,-73
190,-77.77517,-73
191,-77.91598,-81
192,-78.301575,-77
193,-78.42226,-77
194,-78.34597,-77
195,-78.38502,-77
196,-78.11548,-77
197,-77.77578,-77
198,-77.34613,-77
199,-77.04601,-77
200,-77.03207,-77
201,-76.66837,-75
202,-76.51474,-75
203,-76.386116,-75
204,-76.21286,-75
205,-76.05044,-75
206,-75.59756,-75
207,-75.338066,-73
208,-74.710785,-73
209,-73.559105,-73
210,-72.61659,-71
211,-71.926155,-71
212,-71.53129,-71
213,-71.232925,-71
214,-71.23001,-71
215,-71.199135,-71
216,-71.22162,-71
217,-70.90625,-71
218,-70.78199,-71
219,-70.578835,-71
220,-70.517235,-71
221,-70.20133,-69
222,-70.01006,-69
223,-69.775894,-69
224,-69.40951,-69
225,-68.96887,-69
226,-68.92402,-69
227,-68.73666,-69
228,-68.66447,-69
229,-68.55502,-69
230,-68.547005,-69
231,-68.92283,-69
232,-69.13232,-69
233,-70.15621,-77
234,-77.10364,-77
235,-77.48882,-77
236,-77.70904,-77
237,-77.9049,-77
238,-78.05931,-77
239,-78.15305,-77
240,-78.31816,-77
241,-78.46639,-77
242,-78.61166,-77
243,-80.22284,-77
244,-81.15247,-81
245,-81.28056,-81
246,-81.493576,-81
247,-81.58465,-81
248,-81.7266,-81
249,-81.74337,-81
250,-81.8154,-81
251,-81.87447,-81
252,-81.79066,-81
253,-81.86679,-81
254,-81.88616,-81
255,-82.00712,-81
256,-81.99685,-81
257,-82.00392,-81
258,-82.04118,-81
259,-82.055565,-81
260,-82.06347,-81
261,-82.064735,-81
262,-82.04846,-81
263,-82.01553,-81
264,-81.98037,-81
265,-82.03298,-81
266,-81.97566,-81
267,-81.94734,-81
268,-81.88248,-81
269,-81.7744,-81
270,-81.59304,-81
271,-81.604385,-81
272,-81.432274,-81
273,-81.26302,-81
274,-81.19155,-81
275,-81.03007,-81
276,-80.938835,-81
277,-80.947945,-81
278,-80.949615,-79
279,-80.89616,-79
280,-80.87237,-79
281,-80.89169,-79
282,-80.93377,-79
283,-82.34748,-79
284,-82.41094,-79
285,-87.964035,-111
286,-88.15209,-111
287,-88.09965,-111
288,-87.9083,-111
289,-83.38862,-81
290,-82.32639,-81
291,-82.43398,-81
292,-82.02416,-81
293,-81.69688,-81
294,-81.46407,-81
295,-80.293175,-81
296,-80.293625,-81
297,-80.11959,-81
298,-79.87752,-81
299,-79.23498,-81
300,-79.193596,-75
301,-78.95853,-75
302,-78.944725,-75
303,-78.932106,-79
304,-78.99096,-79
305,-78.69439,-79
306,-78.62992,-79
307,-78.60138,-79
308,-78.63249,-79
309,-78.63003,-79
310,-78.73975,-79
311,-78.74963,-65
312,-79.162834,-77
313,-79.26435,-77
314,-79.5734,-79
315,-80.09672,-79
316,-80.61564,-79
317,-80.948105,-79
318,-81.80654,-79
319,-82.53684,-79
320,-83.7689,-71
321,-86.75971,-77
322,-85.849174,-111
323,-85.342896,-79
324,-82.868385,-79
325,-81.47726,-79
326,-80.34431,-79
327,-79.4844,-79
328,-78.628685,-79
329,-77.83483,-79
330,-77.545525,-79
331,-76.673584,-79
332,-75.98803,-73
333,-75.47825,-73
334,-75.09895,-73
335,-74.84288,-73
336,-74.83437,-73
337,-74.771065,-73
338,-74.794205,-75
339,-75.230125,-75
340,-73.40288,-75
341,-68.14271,-67
342,-67.32246,-67
343,-67.278854,-67
344,-67.04749,-67
345,-67.013725,-67
346,-66.91677,-67
347,-66.93392,-67
348,-66.969154,-67
349,-66.95849,-67
350,-67.11437,-67
351,-67.79139,-67
352,-75.23566,-73
353,-75.4459,-75
354,-76.225525,-75
355,-77.03133,-77
356,-76.90165,-77
357,-77.37322,-77
358,-77.73882,-77
359,-77.97837,-77
360,-78.03349,-77
361,-78.17606,-77
362,-78.11202,-77
363,-78.42582,-77
364,-78.59785,-77
365,-78.694466,-77
366,-78.862114,-77
367,-79.07605,-79
368,-79.22516,-79
369,-79.30405,-79
370,-79.42137,-79
371,-79.54673,-79
372,-79.62203,-79
373,-79.86211,-79
374,-79.928444,-79
375,-79.80866,-79
376,-79.38685,-79
377,-76.67412,-79
378,-76.01084,-75
379,-75.937584,-75
380,-75.862114,-75
381,-75.74012,-75
382,-75.653725,-75
383,-75.69128,-75
384,-75.636284,-75
385,-75.50525,-75
386,-75.276924,-75
387,-74.95943,-75
388,-75.090126,-75
389,-77.6979,-81
390,-80.04342,-81
391,-81.78179,-81
392,-81.69619,-81
393,-81.682884,-81
394,-81.63427,-81
395,-81.577934,-81
396,-81.38468,-81
397,-81.26431,-81
398,-80.759415,-81
399,-79.99692,-81
400,-75.01445,-81
401,-73.61353,-69
402,-72.22674,-69
403,-79.91205,-81
404,-81.651245,-81
405,-81.71443,-81
406,-81.83098,-81
407,-81.85362,-81
408,-81.92391,-81
409,-81.97764,-81
410,-82.03423,-81
411,-82.16566,-81
412,-82.230804,-81
413,-82.23664,-81
414,-82.21476,-81
415,-82.2245,-83
416,-82.273415,-83
417,-82.24327,-83
418,-82.078064,-83
419,-82.00586,-83
420,-81.95136,-83
421,-81.928474,-79
422,-81.805214,-75
423,-81.76608,-79
424,-81.75773,-79
425,-81.5917,-79
426,-81.4918,-79
427,-81.52964,-81
428,-81.469734,-83
429,-81.46072,-83
430,-81.47274,-83
431,-81.49044,-83
432,-81.48295,-83
433,-81.417915,-83
434,-81.40306,-77
435,-81.32198,-77
436,-81.30517,-79
437,-81.35024,-79
438,-82.03704,-79
439,-83.406364,-83
440,-83.5489,-81
441,-87.841995,-111
442,-87.90916,-111
443,-88.05126,-111
444,-88.1414,-83
445,-86.1285,-83
446,-80.45052,-83
447,-80.58849,-77
448,-80.28474,-77
449,-80.20846,-77
450,-79.32354,-77
451,-79.1608,-77
452,-78.75684,-77
453,-78.688385,-77
454,-78.442406,-77
455,-78.246635,-77
456,-78.358604,-77
457,-78.50361,-77
458,-78.54244,-79
459,-79.01899,-83
460,-79.32653,-83
461,-80.287926,-83
462,-80.89219,-83
463,-80.100845,-79
464,-79.85044,-79
465,-78.96063,-77
466,-78.806206,-77
467,-76.72823,-77
468,-73.11285,-69
