,pred,real
175,-61.65291,-61.0
176,-61.80163,-61.0
177,-62.05818,-61.0
178,-62.145943,-61.0
179,-61.449093,-61.0
180,-66.947784,-67.0
181,-67.05879,-67.0
182,-67.19172,-67.0
183,-67.293884,-67.0
184,-67.23629,-67.0
185,-67.54405,-67.0
186,-67.27806,-67.0
187,-67.46111,-67.0
188,-67.481674,-67.0
189,-67.58719,-67.0
190,-67.436165,-67.0
191,-66.99985,-67.0
192,-66.10748,-67.0
193,-65.236176,-63.0
194,-65.35367,-65.0
195,-65.67853,-65.0
196,-67.856094,-67.0
197,-68.92289,-67.0
198,-69.135086,-69.0
199,-69.29077,-69.0
200,-69.33673,-69.0
201,-69.43477,-69.0
202,-69.346405,-69.0
203,-69.32234,-69.0
204,-69.38247,-69.0
205,-69.26138,-69.0
206,-69.22084,-69.0
207,-68.92322,-69.0
208,-68.65141,-67.0
209,-68.26868,-67.0
210,-68.14416,-67.0
211,-68.78518,-67.0
212,-69.266304,-67.0
213,-69.57469,-67.0
214,-69.975784,-67.0
215,-70.27955,-67.0
216,-70.326096,-67.0
217,-70.650276,-67.0
218,-70.94707,-69.0
219,-71.11014,-69.0
220,-71.03762,-69.0
221,-70.39203,-69.0
222,-70.363014,-69.0
223,-69.224945,-69.0
224,-64.93197,-61.0
225,-62.583225,-61.0
226,-61.409145,-61.0
227,-60.98938,-61.0
228,-60.974106,-61.0
229,-61.280983,-61.0
230,-61.21515,-61.0
231,-61.706818,-61.0
232,-61.91436,-61.0
233,-62.159492,-61.0
234,-62.45095,-61.0
235,-62.657608,-61.0
236,-65.92706,-67.0
237,-67.10957,-67.0
238,-67.54523,-67.0
239,-63.673477,-67.0
240,-62.85347,-61.0
241,-62.679264,-59.0
242,-62.668407,-61.0
243,-62.504295,-61.0
244,-62.401295,-61.0
245,-62.373558,-61.0
246,-62.459717,-61.0
247,-62.458626,-61.0
248,-62.510338,-61.0
249,-62.641075,-61.0
250,-62.62413,-61.0
251,-62.08374,-61.0
252,-61.81343,-61.0
253,-61.67134,-61.0
254,-61.55754,-61.0
255,-61.442738,-61.0
256,-61.404045,-61.0
257,-61.458107,-61.0
258,-61.50363,-61.0
259,-61.7881,-61.0
260,-61.954468,-61.0
261,-61.829643,-61.0
262,-61.856956,-61.0
263,-61.9205,-61.0
264,-61.86283,-61.0
265,-61.807487,-61.0
266,-61.634163,-61.0
267,-61.366554,-61.0
268,-61.089626,-61.0
269,-61.123642,-59.0
270,-60.488758,-59.0
271,-60.140846,-59.0
272,-59.860935,-59.0
273,-59.85521,-59.0
274,-59.85161,-59.0
275,-60.692036,-59.0
276,-60.148426,-59.0
277,-60.943096,-59.0
278,-60.531548,-59.0
279,-60.03357,-59.0
280,-61.570324,-59.0
281,-61.96351,-59.0
282,-60.769115,-61.0
283,-61.848694,-61.0
284,-62.118553,-61.0
285,-62.430805,-61.0
286,-62.073715,-61.0
287,-61.872253,-61.0
288,-62.086876,-61.0
289,-62.186707,-61.0
290,-62.07803,-61.0
291,-62.243572,-61.0
292,-62.249992,-61.0
293,-69.249344,-69.0
294,-68.51766,-69.0
295,-69.13887,-69.0
296,-68.96923,-69.0
297,-69.55468,-69.0
298,-69.56507,-69.0
299,-69.314514,-69.0
300,-69.30377,-69.0
301,-69.21465,-69.0
302,-69.44517,-69.0
303,-69.58373,-69.0
304,-69.47398,-69.0
305,-69.41727,-69.0
306,-69.35561,-69.0
307,-69.49165,-69.0
308,-67.82553,-69.0
309,-67.26243,-69.0
310,-66.943146,-65.0
311,-65.983864,-65.0
312,-65.51778,-65.0
313,-65.43388,-65.0
314,-65.34561,-65.0
315,-65.29579,-65.0
316,-65.10133,-65.0
317,-65.05074,-65.0
318,-65.13306,-65.0
319,-65.11977,-65.0
320,-65.31438,-65.0
321,-65.47165,-65.0
322,-65.78575,-65.0
323,-65.73779,-65.0
324,-65.82721,-65.0
325,-65.95502,-67.0
326,-67.334175,-67.0
327,-67.63763,-67.0
328,-67.715805,-67.0
329,-67.68328,-67.0
330,-67.68063,-67.0
331,-67.4106,-67.0
332,-67.487915,-67.0
333,-67.89882,-67.0
334,-69.811905,-67.0
335,-70.40637,-67.0
336,-70.91864,-69.0
337,-70.74647,-69.0
338,-70.97114,-69.0
339,-71.07084,-69.0
340,-70.90283,-69.0
341,-70.91411,-69.0
342,-70.8313,-69.0
343,-71.099846,-69.0
344,-71.31015,-69.0
345,-70.90503,-69.0
346,-71.20674,-69.0
347,-70.57239,-69.0
348,-70.3035,-65.0
349,-68.0064,-65.0
350,-68.11835,-65.0
351,-67.07492,-65.0
352,-66.42645,-65.0
353,-65.72104,-65.0
354,-65.88223,-65.0
355,-67.14097,-65.0
356,-70.004295,-69.0
357,-68.11405,-69.0
358,-69.866585,-69.0
359,-70.59256,-69.0
360,-70.26804,-69.0
361,-72.326035,-73.0
362,-72.70332,-73.0
363,-72.75659,-73.0
364,-74.11973,-73.0
365,-66.54698,-73.0
366,-66.43199,-63.0
367,-65.855865,-63.0
