Method,Test Size,MAE,,,,MAEt,,,,MAEu,,,,MAEe,,,,MAEi,,,,MAEk
U-Net,0.2,65.88464894,,Transformer,0.4,1.754419804,,U-Net,0.4,64.26828405,,Ensemble,0.4,1.405980279,,IDW,0.4,1.205173763,,Kriging,0.4,3.145537708
Transformer,0.2,1.475730193,,Transformer,0.5,1.661472024,,U-Net,0.5,64.24604255,,Ensemble,0.5,1.729815477,,IDW,0.5,1.378012549,,Kriging,0.5,2.312297963
IDW,0.3,1.01364991,,Transformer,0.1,1.780603897,,U-Net,0.1,64.16789984,,Ensemble,0.1,0.984605992,,IDW,0.1,0.477179444,,Kriging,0.1,3.203294132
Kriging,0.3,3.590720608,,Transformer,0.2,1.861696534,,U-Net,0.2,66.99449137,,Ensemble,0.2,1.30452289,,IDW,0.2,0.891752036,,Kriging,0.2,3.439947839
Ensemble,0.3,1.56197714,,Transformer,0.3,1.816057563,,U-Net,0.3,68.28997831,,Ensemble,0.3,1.276949097,,IDW,0.3,0.813034447,,Kriging,0.3,3.403749159
U-Net,0.3,66.8061396,,Transformer,0.4,1.607712252,,U-Net,0.4,65.08457525,,Ensemble,0.4,1.623728867,,IDW,0.4,1.233533754,,Kriging,0.4,3.897556902
Transformer,0.3,1.693761102,,Transformer,0.5,1.654993952,,U-Net,0.5,63.62779504,,Ensemble,0.5,1.642740605,,IDW,0.5,1.585659125,,Kriging,0.5,3.029451475
IDW,0.4,1.146312657,,Transformer,0.1,1.526317324,,U-Net,0.1,61.73637732,,Ensemble,0.1,1.03037869,,IDW,0.1,0.431688177,,Kriging,0.1,2.049937838
Kriging,0.4,3.31478878,,Transformer,0.2,1.638236539,,U-Net,0.2,64.1368912,,Ensemble,0.2,1.347399827,,IDW,0.2,0.764789317,,Kriging,0.2,3.168191718
Ensemble,0.4,1.629578115,,Transformer,0.3,1.491261859,,U-Net,0.3,64.04966505,,Ensemble,0.3,1.546589388,,IDW,0.3,1.254077063,,Kriging,0.3,3.523048645
U-Net,0.4,65.34151643,,Transformer,0.4,2.022214787,,U-Net,0.4,65.96038976,,Ensemble,0.4,1.581401442,,IDW,0.4,1.118495813,,Kriging,0.4,3.95704102
Transformer,0.4,1.823444503,,Transformer,0.5,1.071329521,,U-Net,0.5,63.61946356,,Ensemble,0.5,1.924415313,,IDW,0.5,1.714741023,,Kriging,0.5,4.276964586
IDW,0.5,1.198150681,,Transformer,0.1,1.757508766,,U-Net,0.1,63.27719367,,Ensemble,0.1,1.640957195,,IDW,0.1,1.290169074,,Kriging,0.1,3.301348255
Kriging,0.5,3.088824772,,Transformer,0.2,1.466187341,,U-Net,0.2,63.69070848,,Ensemble,0.2,1.268603577,,IDW,0.2,0.952625223,,Kriging,0.2,3.788648423
Ensemble,0.5,1.66870256,,Transformer,0.3,1.854836986,,U-Net,0.3,64.74534163,,Ensemble,0.3,1.214536983,,IDW,0.3,0.93226382,,Kriging,0.3,2.511153453
U-Net,0.5,65.96237672,,Transformer,0.4,1.549965143,,U-Net,0.4,66.77593286,,Ensemble,0.4,1.603683127,,IDW,0.4,1.199294978,,Kriging,0.4,3.985430247
Transformer,0.5,1.362323976,,Transformer,0.5,1.587918749,,U-Net,0.5,63.90114597,,Ensemble,0.5,1.606572881,,IDW,0.5,1.39084625,,Kriging,0.5,3.91455346
IDW,0.1,0.69408704,,Transformer,0.1,1.557674124,,U-Net,0.1,65.17667643,,Ensemble,0.1,1.37312036,,IDW,0.1,0.901680989,,Kriging,0.1,2.656759703
